Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
19,29,6,2020,billymambrasar,Video ini berisi reaksi kaget bercampur senang dari Satu Keluarga di Papua yang anak lakilaki mereka berhasil lolos masuk untuk berkuliah di Universitas Harvard Amerika Serikat  Full Link Video ada disini  httpsyoutubeqBHxXEU3K44  Awalnya sang ayah mengira bahwa dia sedang di Prank ternyata setelah diberikan Password dan isi email dari Universitas Ternama Dunia tempat Bill Gates Mark Zuckerberg dan Barrack Obama kuliah tersebut dan mengecek bersama Ibu dan kedua adiknya ternyata benar sang anak lolos masuk ke Universitas Tersebut  Sang Ibu yang tidak memahami bahasa inggris sempat kebingungan dan bertanya apa maksud isi email tersebut Setelah dijelaskan oleh kedua adiknya barulah mengerti dan akhirnya ikut bersoraksorak gembira  Saat bersamaan sang anak yang sedang berada di Universitas Oxford Inggris Sang anak tengah menyelesaikan masternya di Universitas ini bersama dengan sahabt dekatnya juga sedang menunggu dengan degdegan hasil pengumuman test masuk atau tidak masuknya ke Universitas Impiannya sejak lama itu  Video reaksi ini diharapkan dapat menggugah inspirasi dari anakanak Indonesia lainnya agar dapat bermimpi besar mewujudkan citacitanya masuk ke perguruan tinggi ternama dunia untuk membanggakan keluarga serta mengharumkan nama Bangsa Indonesia,https://www.instagram.com/p/CCBLfAbhhmB,3515,139
6,31,1,2020,billymambrasar,Setiap kunjungan kerja lengkap dgn interaksi yg akrab  diskusi tajam yg akrab dgn Presiden jokowi merupakan momen yg akan saya ingat seumur hidup saya  Urutan kegiatannya adalah sbb 1 Standby di Landasan Udara menunggu bapak tiba dan memasuki pesawat 2 Naik pesawat kenegaraan secara protocoller menyambut bapak di Red Carpet menaiki tangga pesawat 3 Masuk dan ikut duduk di pesawat  4 Tiba di tempat  turun dr pesawat  disambut Gubernur  walikota atau petinggi daerah setempat 5 Mengikuti rangkaian acara dan selalu mendampingi bapak selalu dan memberikan masukan atau input ketika ditanya suatu isu 6  Makan siang dan berdiskusi ttg topik2 kenegaraan lain serta mencari preliminary solution utk di kordinasikan dgn kementerian dan lembaga terkait 7 Shalat   Dan saat Bapak sedang solat saya bersama menteri2 lain yg non muslim menunggu sambil berbicara ttg potensi2 kerja sama yg mgkn dpt dikerjakan nanti utk menyelesaikan permasalahan publik 8 Melanjutkan kunjungan kerja kali ini lebih ringan dgn diikuti dgn interaksi lebih hangat dgn masyarakat 9 kembali ke pesawat kenegaraan dan take off kembali ke Jakarta  Ketika berinteraksi dgn masyarakat  maka kita harus selalu menggunakan empati yahh betul  Rasa Bicaralah dgn hatimu ketika kamu menyentuh masyarakat  dan itu apa yg saya pelajari dari bapak selama ini  Ketika bapak berinteraksi dgn masyarakat  kesungguhan tone beliau  tatapan matanya  sentuhan tangannya  menunjukkan keseriusan beliau mendengarkan lalu meminta ajudan  menteri bahkan saya sendiri  untuk memfollow up isu2 tertentu  Misalnya ketika berinteraksi dgn salah satu ibu2 UMKM  dengan mengangkat produknya  Pak Jokowi menoleh ke saya dan meminta Billy tolong kordinasikan dengan rekan SKP lain dan follow up dgn kementerian dan lembaga yah Saya jg jd semakin akrab dgn sahabat2 rekan Staf Khusus Presiden yg lain dalam tiap kunjungan kerja kami  dgn menteri2 serta pejabat daerah lain  Ketika saya belajar studi doktoral saya nanti lalu kembali dan memajukan usaha consulting serta bisnis saya yang lain  maka saya akan mengingat dan menjadikan pengalaman ini sebagai pelengkap bahan riset dan thesis saya  stafsus,https://www.instagram.com/p/B79owE7Btad,3214,148
13,9,1,2020,billymambrasar,Rapat Kerja Hari Pertama saya di 2020  Part 1 Buka Raker Perwakilan RI Presiden Ingin Dubes Fokus Diplomasi Ekonomi  Presiden Joko Widodo membuka Rapat Kerja Raker Kepala Perwakilan Republik Indonesia dengan Kementerian Luar Negeri di Istana Negara Jakarta pada Kamis 9 Januari 2020 Rapat kerja tersebut dihadiri oleh 131 Kepala Perwakilan dan Eselon I Kementerian Luar Negeri  Pd awal sambutannya Presiden kembali menggaungkan optimisme di tengah situasi ekonomipolitik dunia yang penuh dengan ketidakpastian Ditambah lagi dengan meningkatnya konflik yang terjadi di beberapa negara maupun antarnegara Tetapi kita harus yakin bahwa di tengah situasi yang penuh tantangan tersebut negara kita Indonesia mampu berlayar tetap berdiri tegak dalam rangka terus memperjuangkan kepentingan nasional kita kata Presiden  Konstitusi mengamanatkan para duta besar Indonesia sebagai duta perdamaian Meski demikian Kepala Negara menghendaki agar para perwakilan RI di luar negeri tersebut juga mengupayakan diplomasi ekonomi Saya ingin 7080 persen apa yang kita miliki itu fokusnya di situ di diplomasi ekonomi karena itulah yang sekarang ini sedang diperlukan oleh negara kita Oleh sebab itu penting sekali para duta besar ini sebagai duta investasi jelasnya  Sebagai duta investasi Presiden menyebut para duta besar harus mampu mengidentifikasi jenis investasi di bidang apa yang diperlukan dan diprioritaskan oleh Indonesia Menurut Presiden bidang yang menjadi prioritas tersebut antara lain produk substitusi impor Kita tahu yang namanya _petrochemical_ itu masih impor 85 persen masih impor Sehingga kalau kita ingin mendatangkan investasi cari produkproduk yang berkaitan dengan barangbarang substitusi impor kita Petrokimia berkaitan dengan methanol misalnya ungkapnya  Bidang kedua yang harus diprioritaskan adalah energi Hal ini mengingat Indonesia masih mengimpor energi baik minyak maupun gas dalam jumlah yang cukup besar Secara spesifik Kepala Negara meminta para duta besar mencari investor yang memiliki kemampuan dalam mengelola material yang banyak dimiliki Indonesia seperti batu bara Jangan senang kita impor gas atau minyak terus,https://www.instagram.com/p/B7FoypkhNBl,2456,55
10,21,4,2020,billymambrasar,Tidak ada caption yg bisa saya tuliskan disini sebagai rasa terimakasih untuk Kartini Pahlawan Kebanggaan Saya Mama Mambrasar Cuma Lulusan SD tp jiwa perjuangannya begitu tinggi untuk anakanaknya Tanpa mama dan jualan2 mama tanpa mama kerja sbg Pembantu Rumah Tangga tukang cuci piring tukang angkat pasir di kali tdk mungkin kami bs makan dan bertahan hidup Selamat Hari Kartini untuk semua salam sayang dr kami semua untuk wanita2 pejuang Indonesia yg telah berkorban untuk anak2nya dan untuk ikut membangun negeri ini harikartini billymambrasar stafsuspresiden kartini selamatharikartini mambrasar,https://www.instagram.com/p/B_OnmJEBmii,2300,99
8,23,5,2020,billymambrasar,BERJUALAN DI PINGGIR JALAN Jadi jumat kemarin tgl 22 Mei 2020 tepat sudah bulan ke6 saya tdk bertemu orang tua saya termasuk Ibu Saya Lalu secara random saya bertemu dgn Ibu Wati salah satu warga di kecamatan Menteng Atas yg mengeluhkan biaya pendidikan anaknya Keluhnya nilai uang yg didapat dari berjualan kue tdk mencukupi kebutuhannya seharihari Mendengar keluhan tsb krn Juga keterbatasan uang yg saya miliki bantuan dana yg bs saya serahkan dr penghasilan yg saya miliki cukup sedikit Oleh sebab itu saya menawarkan diri utk membantu Ibu Wati berjualan EITSS saya tetap menjaga jarak aman dan menggunakan masker yah PUJI TUHAN ALHAMDULILAH kurang dari 2 jam dagangan Ibu Wati Ludes saya jual habis Ibu Wati cukup terkejut dengan skill berjualan saya lalu saya share ke Ibu Wati bahwa sejak kecil saya sudah terbiasa berjualan dengan mama saya di Pasar dan di Jalan Saya lalu menelpon mama saya melalui Video call dan memperkenalkan Mama dengan Ibu Wati dan ternyata mama juga sama sedang mempersiapkan barang jualannya jg heheheh Saya lalu memberikan sedikit rejeki saya jg utk memberikan beasiswa bagi anak Ibu wati yg sedang menempuh pendidikan saat ini dan membagi sembako ke Ibu2 lain teman2 warga dari Ibu Wati di tempat beliau tinggal Walaupun Ramadhan ini saya tdk bs pulang kampung tp sosok Ibu dan wanita pejuan seperti Ibu Wati ini telah membantu saya melepas kangen kepada Ibunda Tercinta Teman2 yg tahun ini ga bisa pulang dan menengok keluarga yuk kita bantu tetangga dan sesama di sekitar kita Selain beramal dan bentuk pengabdian kita kepada Sang Khalik itu juga merupakan pengobat rindu yg sangat mujarab Selamat Menjelang Hari Raya Idul Fitri yaaah dan selamat melanjutkan Ibadah Puasanya,https://www.instagram.com/p/CAgv4DrBW7G,2178,201
10,7,6,2020,billymambrasar,Menjawab tantangan mbak najwashihab untuk posting foto2 lama wisuda lewat challenge WisudaLDR2020 dengan tujuan menyemangati para wisudawan tahun ini maka saya memutuskan posting video ini yaitu momen saya wisuda tahun 2014 lalu tanpa dihadiri orang tua atau keluarga Thanks God saya ditemani dwi dan yrleonard yg memainkan gitar ini they will always be my good friendSebagai informasi perasaan saya mungkin mirip dengan teman2 angkatan 2020 saat ini yg tdk dpt merasakan momen wisuda fisik dan mungkin sebagian besar merasa sedih  Tujuan utama saya menyelesaikan Pendidikan dgn gelar terbaik di Luar Negeri adalah untuk membanggakam dan membahagiakan kedua orang tua saya Sejak semester 1 saya kuliah sudah terbayangbayang bahwa di akhir masa perkuliahan dan momen wisuda saya nanti kedua orang tua akan saya berangkatkan ke Luar Negeri duduk di deretan bangku keluarga wisudawan akan tetapi nasib berkata lain ongkos kami tdk cukup sehingga mereka tidak dapat datang dan saya menghadiri wisuda saya tanpa dampingan siapasiapa  Bagi sebagian besar teman2 wisudawan 2020 pasti berharap bahwa momen wisuda fisik sebagai momen sakral utk berbagi kebahagiaan dengan kedua ortu dan keluarga kita Tidak apa2 kalau momen itu tidak terjadi saya sudah merasakan seperti apa rasanya kita tdk dpt mewujudkannya utk mereka  However guys jangan sedih we got the degree anyway mari bawa pulang Ijazah kita serahkan dgn penuh cinta ke orang tua kita  itu yg utama  Setelah itu mari kita berkarya dgn ilmu yg sudah didapat Sukses untuk kita semua utk teman2 Wisudawanwati 2020 My prayers all go for u WisudaLDR2020 wisudaldr2020 wisuda wisuda wisuda2020 graduation2020 anualumni alumnianuindonesia billymambrasar,https://www.instagram.com/p/CBHmVHqhWDU,2174,227
12,11,1,2020,billymambrasar,One on One dgn Mas mastercorbuzier Gilaaa nih orang pinterrr abiesss  Bukan hanya sekedar seorang entertainer  he is someone with brain  4 jam posted dan 24 K Views already  Padahal menurut saya topiknya terlalu berat sih hehehe  Ternyata banyak yg tertarik utk mendengar jg  Bisa lihat full Interviewnya di BIO IG SAYA Jangan lupa di klik yah Happy Weekend and Happy Sabbath  selamat berlibur dengan keluarga yah  deddycorbuzier hitamputih deddycorbuizerpodcast podcastduweekend billymambrasar stafsus stafsusjokowi stafsusmilenial stafsuspresiden penistaanagama,https://www.instagram.com/p/B7KrwDShkBH,2155,113
16,31,8,2020,billymambrasar,Graceshella Tridasalin Octavia Mambrasar vs Gracia Josaphat Jobel Mambrasar  SIBLINGS  Adik beradik ini Sama sama bacot sama2 bukan pendengar yang baik sama2 sabaran sama2 tukang marah sama2 pemimpi besar dan sama2 sayang ortu  Klo persamaan dalam hal2 yang baik kata orang banyak Tapi kalau saya tulis nanti disangka RIA menyombongkan diri   Intinya sih  jarang2 saya posting foto sama sibling yaaah tapi saya mau skalian promosi buat pria2 lajang saya open endorse adik saya ini graceisaschar   Thanks for taking care of our parents yaaah billysdiary billymambrasar sellymambrasar adikkakak siblings siblinglove siblinggoals siblinggoals,https://www.instagram.com/p/CEjE7pzhREE,2098,70
2,29,6,2020,billymambrasar,Cover lagu terbaruku guys  SIO MAMA Silahkan dinikmati Lagu lengkapnya ada di channel youtubeku Billy Mambrasar bisa di cek out yah Persembahan untuk ibuku dan wanitawanita hebat Indonesia di luar sana yg telah berjuang untuk anakanak mereka  Juga bila ingin lihat lagu lengkapnya dapat klik di Bio IG profileku diatas yaaah siomama laguambon billymambrasar,https://www.instagram.com/p/CB_cPg-hQmq,2033,79
7,27,8,2020,billymambrasar,Temanteman ijinkan saya memperkenalkan makanan tradisional khas Papua juga Maluku Papeda dan Ikan Kuah Kuning dengan Umbiumbian sayuran dan beberapa hidangan pelengkap lainnya  Papeda terbuat dari sari tepung sagu yang kemudian diolah dengan air panas secara khusus dan akhirnya berbentuk seperti Jelly Makannya harus ditemani dengan ikan yang berkuah kuning panas Makanan ini sudah sangat common dikonsumsi oleh masyarakat di Tanah Papua dan Maluku  Papeda mengandung kadar gula yg rendah dan serat yang tinggi Akan tetapi Papeda memiliki energi yang cukup untuk membantu kita beraktifitas seharihari  Papeda juga mengandung antioksidan yg tinggi untuk menjaga kesehatan kulit dan antibodi untuk tubuh  Temanteman kalian Ada yang ingin mencobanya kah  atau mungkin temanteman sudah pernah mencobanya billymambrasar billysdiary diarybilly diarybillymambrasar papeda papua papuabarat maluku,https://www.instagram.com/p/CEX3DXwB-JH,1811,186
13,16,1,2020,billymambrasar,Repost lalamarionmj with get_repost  lalamarionmj Says some people are getting busy over my skin they even named me africon jola well this Sumba girlyborn and raised in NTT is curious what are they going to say after this picture maybe  muscly africon jowla  well you guys got my attention  i love also i embrace slash im cooler than you  Billy Mambrasar responses  Kita harus selalu bangga akan identitas kita seperti Idola saya ini Marion Jolla Parampuan NTT dari Pulau Sumba kebanggaan Indonesia timur Lala bangga akan kulit hitamnya dia sama seperti saya sebagai lakilaki Papua bangga akan kulit hitam dan rambut keriting saya hampir dipastikan warna kulit ratarata orang Indonesia adalah Sawo Matang dan Coklat Gelap dan warna tersebut adalah indah Kenapa sih harus mendiskreditkan orangorang yang berwarna kulit gelap Kalau Warna kulit gelap tidak indah dan cantik kenapa Beyonce jadi Penyanyi Papan atas kelas Dunia Lalu Mbak anggun_cipta bisa dapat eurovision dan jadi artis eropa papan atas Kenapa Jenifer Hudson jadi super star Lalu andmeshkamaleng_  bisa sukses menjadi Penyanyi dengan album dan penjualan tinggi lakilaki NTT skinnyindonesian24id bisa sukses dan konten kreatif mereka Mommy mamauthe menjadi diva papan atas Indonesia dan glennfredly309 sukses menelurkan albumalbum yang menyentuh hati Kenapa Denzel Washington bisa dapat Oscar Saya memohon dengan kerendahan hati saya terkait Komentar pedas mbak lucintaluna  yang menyatakan bahwa warna kulit hitam itu jelek buluk dan busuk itu berpotensi menyakiti hati kita orangorang Indonesia timur yang sebagian besar berwarna kulit Gelap  Hey anakanak Indonesia ingatlah dan banggalah akan jati diri kita salah satunya warna kulit Gelap kita yang indah dan menawan ini Fokus kepada karya dan prestasi Bukan sensasi bukan banyaknya uang dan harta dan bukan keindahan fisik yang sementara ini saja Ciptakan dampak dan kerja keraslah untuk mencapai Prestasi  Saya Billy Mambrasar Sa anak Papua sa pu kulit hitam dan rambut keriting dan sa bangga menjadi diri sendiri Putra Nusantara Eksotis yang Cerdas,https://www.instagram.com/p/B7Xrlfuhx33,1801,132
5,29,10,2020,billymambrasar,Rapat kerja dengan Pak Menteri titokarnavian semalam melahirkan sebuah bentuk program pengelolaan sumber daya manusia Indonesia kedepannya  Pak Menteri ini kreatif idenya banyak akomodatif out of the box dan berani   Tinggal kita eksekusinya aja yah skrg guys  Semoga eksekusinya akan lancar jaya aminn  Sehatsehat terus yah pak,https://www.instagram.com/p/CG55d-4BNQf,1776,47
16,31,7,2020,billymambrasar,Sejak Oktober 2019 saya bersama dengan vaniafherlambang dan Ibu alissa_wahid ditunjuk oleh bappenasri  untuk bertugas menjadi duta SDGs Tujuan Pembangunan Berkelanjutan Indonesia untuk periode 20192021   Beberapa tugas yang sudah saya kerjakan diantaranya mengkampanyekan pencapaian bersama ini di beberapa Provinsi di Indonesia berbicara mewakili Indonesia di acara konferensi laut di Oslo Norwegia dan mengadvokasi pencapaian bersama di TV dan di Media  Perlu diketahui tahun 2019 angka pencapaian SDGs Indonesia masih 6501 dibandingkan skor rata2 negara sedunia yang diatas angka Ini dan menempatkan Indonesia berada di urutan ke 101 dari 193 negara PR besar bagi saya untuk bekerja lebih keras lagi untuk mendorong pencapaian yang lebih tinggi lagi  Dalam tugas saya kemarin saya mempresentasikan pentingnya menjaga kelestarian alam Terumbu karang yg menjadi kunci keberadaan ikan dan ekosistem lainnya Masih banyak masyarakat Indonesia di pesisir yang bergantung penuh pangannya kepada laut dan Terumbu Karang yang memastikan sumber pangan tersebut tetap ada  Hadir dalam acara tersebut Menteri Bappenas sekarang dan juga Menteri Kelautan dan Perikanan  Terimakasih atas kepercayaan yg diberikan untuk saya Mohon doanya agar saya dapat menjalankan tugas menjadi duta SDGs Tujuan Pembangunan Berkelanjutan dengan baik Ini akan menjadi salah satu kontribusi penting saya untuk negara sdgs sdgs2030 sustainabledevelopmentgoals sustainabledevelopmentgoals2030,https://www.instagram.com/p/CDTUg7nhnys,1724,45
14,24,7,2020,billymambrasar,Mencoba untuk urun rembuk dan ikut merumuskan strategi intervensi di masamasa penuh ketidakpastian ini  Saya masih terus belajar dan akan terus belajar menuju kematangan diri Setelah itu apa yg saya telah pelajari akan coba saya bagikan untuk orang lain baik sekarang maupun di masa depan nanti  Berbicara tentang ketidak pastian dan kematangan diri sebenarnya Kematangan berpikir adalah kemampuan untuk bertahan dari ketidakpastian  Hari Jumat sebentar lagi selesai dan menuju waktuwaktu istirahat Teman2ku yang sebentar lagi pulang kerja kalo temen2 udah WFO tetap semangat hingga detik terakhirmu bekerja hari ini yah Yang sudah otw balik hatihati di Jalan Yang WFH take ur time Sebentar lagi weekend yooo  Happy menuju weekend guys,https://www.instagram.com/p/CDBFy-hhYUx,1620,34
6,8,11,2020,billymambrasar,Perjalanan Dinas Tim kami ke Sulawesi Tenggara Kendari Diskusi dengan Gubernur malam ini menghasilkan beberapa poin sbb 1 Diseminasi program2 Presiden khususnya yang berkaitan dengan Covid 19 UMKM dan Milenial 2 Mendengar paparan progres pembangunan Provinsi ini 3 Memaparkan Program papuainspiratif dan Manajemen Talenta Papua MTP bersama dengan kemendagri  4 Mendengar aspirasi dan kebutuhan dari Provinsi ini untuk disampaikan kepada Pemerintah Pusat  Terimakasih Gubernur Sultra _alimazi atas keramah tamahannya dan sambutan yang luar biasa  Saya memberikan apresiasi mendalam atas progress pembangunan yg sudah dan sedang berjalan,https://www.instagram.com/p/CHTujdgBeJC,1602,18
